unit_id,post,D,Y,X1,X2,X3,X4
0,0,0,48.87643624503427,5,6,1,1
1,0,0,50.72123917633352,2,7,0,0
2,0,1,49.00210770373419,6,5,1,0
3,0,0,50.608880123338615,3,6,1,0
4,0,1,50.25026442934223,1,4,0,0
5,0,1,49.064863605706066,4,6,0,1
6,0,1,48.61612106308782,5,5,0,1
7,0,1,47.7295818240674,5,6,0,0
8,0,0,50.20647395493849,5,5,0,1
9,0,1,48.11970275651148,5,7,1,0
10,0,1,46.74284618794171,2,7,0,1
11,0,0,48.836008999664266,4,4,0,0
12,0,1,48.14103342377099,6,5,0,1
13,0,1,47.995824763001906,3,6,1,0
14,0,1,47.90301038928413,3,8,0,1
15,0,0,50.244617278260165,5,4,0,0
16,0,1,50.77702781524006,6,5,0,0
17,0,0,48.97472235473251,3,6,0,0
18,0,1,48.174425752997614,4,5,0,0
19,0,0,47.99619953034058,2,6,1,1
20,0,1,49.65229816867263,1,6,0,1
21,0,1,52.21676756049604,6,6,0,0
22,0,0,48.55875891414633,2,5,0,0
23,0,1,48.40392404872514,6,5,1,0
24,0,1,50.28509038079353,5,6,0,0
25,0,0,50.74196727767421,0,5,1,1
26,0,1,49.67876537959666,3,5,0,1
27,0,1,50.98559987302534,3,4,1,1
28,0,0,48.723994502567884,4,6,0,0
29,0,0,49.275903824709374,6,5,1,1
30,0,0,50.31770073221043,2,8,0,1
31,0,1,51.43056159137572,3,5,0,0
32,0,1,50.31390764761177,4,5,0,0
33,0,1,48.520963042909024,6,6,0,0
34,0,1,47.1202932597364,4,7,0,0
35,0,1,48.347090584001954,2,5,0,0
36,0,0,50.305827691828355,4,6,1,1
37,0,0,49.88369279759256,1,5,1,0
38,0,0,50.163799338541786,1,6,1,0
39,0,1,51.847279328029025,6,4,1,1
40,0,0,48.877803030566014,5,7,0,1
41,0,1,49.08305312388146,3,5,1,0
42,0,0,49.70880682188552,4,6,1,0
43,0,1,47.63814147128292,3,5,1,0
44,0,1,49.86838941676554,0,3,0,0
45,0,1,51.70836638529014,4,5,0,1
46,0,0,48.575383911194145,0,6,1,1
47,0,1,51.88157063298467,2,6,0,1
48,0,0,49.65672884324178,4,6,0,1
