school_id,academic_year,computer_lab,average_test_scores,class_size,teacher_experience,urban_location,low_income_status
1,0,0,51.68615775240094,2,10,0,1
1,1,0,52.45815354773493,2,10,0,1
1,2,0,50.72676456518901,2,10,0,1
1,3,0,51.383064653395095,2,10,0,1
1,4,0,50.7939054048315,2,10,0,1
1,5,0,52.75429278855169,2,10,0,1
1,6,0,51.90882782713645,2,10,0,1
1,7,0,52.91089517781485,2,10,0,1
1,8,0,49.65110284663156,2,10,0,1
1,9,0,53.14591643461112,2,10,0,1
2,0,0,52.053089360585496,2,11,1,0
2,1,0,50.5221562824762,2,11,1,0
2,2,0,48.72035005860715,2,11,1,0
2,3,0,48.760825059585095,2,11,1,0
2,4,1,60.83516458913666,2,11,1,0
2,5,1,61.61085442299997,2,11,1,0
2,6,1,61.36055970939567,2,11,1,0
2,7,1,61.08277248174518,2,11,1,0
2,8,1,60.00767571673033,2,11,1,0
2,9,1,62.05142555543556,2,11,1,0
3,0,0,50.84793394150959,1,15,0,0
3,1,0,49.93783233790406,1,15,0,0
3,2,0,50.16083074368164,1,15,0,0
3,3,0,50.450468421889184,1,15,0,0
3,4,0,52.12837172875493,1,15,0,0
3,5,0,52.95530732569763,1,15,0,0
3,6,0,51.43711184741822,1,15,0,0
3,7,0,52.60387434386817,1,15,0,0
3,8,0,51.0748383533364,1,15,0,0
3,9,0,52.56806349422156,1,15,0,0
4,0,0,50.96406069904743,2,9,0,1
4,1,0,54.0534243625788,2,9,0,1
4,2,1,61.454644014535255,2,9,0,1
4,3,1,62.82878724344005,2,9,0,1
4,4,1,62.78794317793316,2,9,0,1
4,5,1,62.95053283673693,2,9,0,1
4,6,1,62.09555268138387,2,9,0,1
4,7,1,63.21775123512042,2,9,0,1
4,8,1,61.75271828477654,2,9,0,1
4,9,1,62.49628419682095,2,9,0,1
5,0,0,53.12300346080021,2,11,1,1
5,1,0,54.26498338582043,2,11,1,1
5,2,0,52.53877492869875,2,11,1,1
5,3,0,52.78113931368173,2,11,1,1
5,4,0,52.73891752073195,2,11,1,1
5,5,0,51.58379801241924,2,11,1,1
5,6,0,55.38066866927858,2,11,1,1
5,7,1,63.4372902513041,2,11,1,1
5,8,1,62.580646227446,2,11,1,1
5,9,1,62.92449964755853,2,11,1,1
6,0,0,52.88946307032125,1,7,0,0
6,1,0,51.76449414331834,1,7,0,0
6,2,0,51.946485031013154,1,7,0,0
6,3,0,53.56828963549072,1,7,0,0
6,4,0,52.94451333995617,1,7,0,0
6,5,0,54.95246888749066,1,7,0,0
6,6,0,53.229782402719245,1,7,0,0
6,7,0,53.18189362638356,1,7,0,0
6,8,0,52.00420748336328,1,7,0,0
6,9,0,53.7762847692652,1,7,0,0
7,0,0,52.039563639758185,1,6,1,0
7,1,1,62.96212055170747,1,6,1,0
7,2,1,61.73646796352967,1,6,1,0
7,3,1,62.09995683680032,1,6,1,0
7,4,1,62.38478133921218,1,6,1,0
7,5,1,61.49518260980616,1,6,1,0
7,6,1,63.178161462286845,1,6,1,0
7,7,1,63.47550944990565,1,6,1,0
7,8,1,60.26988635726637,1,6,1,0
7,9,1,62.90090214674321,1,6,1,0
8,0,0,52.76218688402099,2,16,0,0
8,1,0,52.35546298993519,2,16,0,0
8,2,0,51.2952911583497,2,16,0,0
8,3,0,52.47417866123767,2,16,0,0
8,4,0,53.16033974428601,2,16,0,0
8,5,1,63.75207068670023,2,16,0,0
8,6,1,62.382553777820895,2,16,0,0
8,7,1,64.03655868862083,2,16,0,0
8,8,1,62.59714015511364,2,16,0,0
8,9,1,63.95417574325486,2,16,0,0
9,0,0,51.69921131565121,2,14,1,0
9,1,0,50.84400210568022,2,14,1,0
9,2,0,50.12266629856464,2,14,1,0
9,3,0,51.90792037213792,2,14,1,0
9,4,0,50.40605762618777,2,14,1,0
9,5,0,54.04208519343002,2,14,1,0
9,6,0,53.7091048470177,2,14,1,0
9,7,1,61.03630759879631,2,14,1,0
9,8,1,60.26426785552136,2,14,1,0
9,9,1,61.78607800690727,2,14,1,0
10,0,0,52.78672367505841,1,9,1,0
10,1,0,54.71592454254861,1,9,1,0
10,2,0,50.94883883564816,1,9,1,0
10,3,0,51.675398395633,1,9,1,0
10,4,1,60.33616610220128,1,9,1,0
10,5,1,60.16679145646195,1,9,1,0
10,6,1,62.433610413368406,1,9,1,0
10,7,1,61.68667316106281,1,9,1,0
10,8,1,57.56447638875442,1,9,1,0
10,9,1,61.42721850152751,1,9,1,0
11,0,0,49.251750690659726,2,8,0,1
11,1,0,55.62855214732672,2,8,0,1
11,2,0,51.74726504027744,2,8,0,1
11,3,0,54.490232874858414,2,8,0,1
11,4,0,52.41263766655221,2,8,0,1
11,5,0,52.68681461203872,2,8,0,1
11,6,0,55.06249000703744,2,8,0,1
11,7,0,54.355043142816754,2,8,0,1
11,8,0,51.80506542100351,2,8,0,1
11,9,0,53.325398310735736,2,8,0,1
12,0,0,50.067308774734,1,10,1,1
12,1,0,52.05369030031639,1,10,1,1
12,2,0,50.97634063536999,1,10,1,1
12,3,0,50.73434892855146,1,10,1,1
12,4,0,51.34542971690146,1,10,1,1
12,5,0,53.503610148892186,1,10,1,1
12,6,1,64.7544502278556,1,10,1,1
12,7,1,62.04581310710161,1,10,1,1
12,8,1,60.39505434625988,1,10,1,1
12,9,1,62.96649526217931,1,10,1,1
13,0,0,49.25173042285266,2,13,1,1
13,1,0,51.75837710166559,2,13,1,1
13,2,0,49.59704666779327,2,13,1,1
13,3,0,50.140356656683096,2,13,1,1
13,4,0,51.34942493339928,2,13,1,1
13,5,0,51.5486486075346,2,13,1,1
13,6,0,50.49318642070779,2,13,1,1
13,7,0,52.1795895618987,2,13,1,1
13,8,0,49.79339006019469,2,13,1,1
13,9,0,51.76042349962268,2,13,1,1
14,0,0,52.66470671897294,1,8,0,1
14,1,0,52.51064088383147,1,8,0,1
14,2,0,51.59998706155821,1,8,0,1
14,3,0,54.20767640823129,1,8,0,1
14,4,0,52.87906138781131,1,8,0,1
14,5,0,53.07662911630453,1,8,0,1
14,6,0,53.87394765129923,1,8,0,1
