store_id,measurement_year,online_platform_usage,annual_sales,store_size,employee_count,average_customer_count,location_city,offers_home_delivery,has_loyalty_program
1,0,0,51.18081920448783,6,9,27,0,1,0
1,1,0,50.792251800145024,6,9,27,0,1,0
1,2,0,50.12725914457486,6,9,27,0,1,0
1,3,0,51.96568222844425,6,9,27,0,1,0
1,4,0,48.99947063918664,6,9,27,0,1,0
1,5,0,50.92856897245639,6,9,27,0,1,0
1,6,0,49.77093049057306,6,9,27,0,1,0
1,7,0,51.619694966418,6,9,27,0,1,0
1,8,0,48.86447903996838,6,9,27,0,1,0
1,9,0,50.03702779112431,6,9,27,0,1,0
2,0,0,51.50076436177178,5,8,26,0,1,0
2,1,0,50.5032555398501,5,8,26,0,1,0
2,2,0,51.39815123477671,5,8,26,0,1,0
2,3,0,50.038621098436025,5,8,26,0,1,0
2,4,0,52.77915740745152,5,8,26,0,1,0
2,5,0,51.356117881369215,5,8,26,0,1,0
2,6,0,52.977535439204274,5,8,26,0,1,0
2,7,0,52.26026078509846,5,8,26,0,1,0
2,8,0,49.60195483822933,5,8,26,0,1,0
2,9,0,53.945758636316135,5,8,26,0,1,0
3,0,0,53.48343024892688,0,12,20,1,0,1
3,1,0,50.93074929436133,0,12,20,1,0,1
3,2,0,50.48051582642896,0,12,20,1,0,1
3,3,0,51.75460365560806,0,12,20,1,0,1
3,4,0,52.48158151864722,0,12,20,1,0,1
3,5,0,52.36284288807976,0,12,20,1,0,1
3,6,0,49.79514622452932,0,12,20,1,0,1
3,7,0,52.753695252773234,0,12,20,1,0,1
3,8,0,49.279757800684834,0,12,20,1,0,1
3,9,0,50.86432087842015,0,12,20,1,0,1
4,0,0,49.702136706625566,7,3,29,0,0,0
4,1,0,50.669662150798885,7,3,29,0,0,0
4,2,0,49.91147320488719,7,3,29,0,0,0
4,3,0,49.77360377059573,7,3,29,0,0,0
4,4,0,50.86679391046157,7,3,29,0,0,0
4,5,1,54.98219593691628,7,3,29,0,0,0
4,6,1,54.529309250815125,7,3,29,0,0,0
4,7,1,54.22522566996177,7,3,29,0,0,0
4,8,1,52.49911691000133,7,3,29,0,0,0
4,9,1,55.73314644314302,7,3,29,0,0,0
5,0,0,50.80443474717652,5,5,22,1,0,1
5,1,0,52.98495824604069,5,5,22,1,0,1
5,2,0,50.762678866990456,5,5,22,1,0,1
5,3,0,50.434406795797706,5,5,22,1,0,1
5,4,0,52.80609892504622,5,5,22,1,0,1
5,5,0,51.4766610544888,5,5,22,1,0,1
5,6,0,50.84797034423988,5,5,22,1,0,1
5,7,0,52.31927743911674,5,5,22,1,0,1
5,8,0,52.207718161052966,5,5,22,1,0,1
5,9,0,50.72274738562029,5,5,22,1,0,1
6,0,0,50.62139741323672,4,9,20,1,1,0
6,1,0,49.81421058770072,4,9,20,1,1,0
6,2,0,50.665498409629706,4,9,20,1,1,0
6,3,1,53.32093353847832,4,9,20,1,1,0
6,4,1,54.99707193029732,4,9,20,1,1,0
6,5,1,55.15429689538925,4,9,20,1,1,0
6,6,1,52.90566803459239,4,9,20,1,1,0
6,7,1,54.656537650554064,4,9,20,1,1,0
6,8,1,51.51805190374996,4,9,20,1,1,0
6,9,1,52.2143168675875,4,9,20,1,1,0
7,0,0,47.48352330502457,1,9,33,1,1,1
7,1,0,49.63480235578548,1,9,33,1,1,1
7,2,0,49.70827822458341,1,9,33,1,1,1
7,3,0,49.51602196297681,1,9,33,1,1,1
7,4,0,49.38228432974799,1,9,33,1,1,1
7,5,0,49.7316852066416,1,9,33,1,1,1
7,6,0,50.03856013604571,1,9,33,1,1,1
7,7,0,52.50516549048038,1,9,33,1,1,1
7,8,0,47.99008934544023,1,9,33,1,1,1
7,9,0,49.48234826820534,1,9,33,1,1,1
8,0,0,51.289100725273954,4,7,21,0,0,0
8,1,0,51.93267870315127,4,7,21,0,0,0
8,2,0,49.90833726096209,4,7,21,0,0,0
8,3,0,51.25896723789607,4,7,21,0,0,0
8,4,0,52.75400350120503,4,7,21,0,0,0
8,5,0,51.21115215137316,4,7,21,0,0,0
8,6,0,51.00229483597924,4,7,21,0,0,0
8,7,0,54.6453167319285,4,7,21,0,0,0
8,8,0,51.4823169912433,4,7,21,0,0,0
8,9,0,50.823824826329385,4,7,21,0,0,0
9,0,0,51.63596210390144,3,8,32,0,1,0
9,1,0,49.040162708936975,3,8,32,0,1,0
9,2,0,48.68192320992024,3,8,32,0,1,0
9,3,0,48.03108873143729,3,8,32,0,1,0
9,4,0,50.15412768128291,3,8,32,0,1,0
9,5,0,49.27835714506025,3,8,32,0,1,0
9,6,0,49.403014277853735,3,8,32,0,1,0
9,7,0,48.79232080457474,3,8,32,0,1,0
9,8,0,48.59421347386309,3,8,32,0,1,0
9,9,0,49.729389586944826,3,8,32,0,1,0
10,0,0,49.9273910388448,2,11,17,0,0,1
10,1,0,52.12650471107963,2,11,17,0,0,1
10,2,0,48.72122351780467,2,11,17,0,0,1
10,3,0,48.74960005355359,2,11,17,0,0,1
10,4,0,50.3645595145877,2,11,17,0,0,1
10,5,0,51.41508276028145,2,11,17,0,0,1
10,6,0,48.62674328061343,2,11,17,0,0,1
10,7,0,49.65566215097605,2,11,17,0,0,1
10,8,0,47.84893294481455,2,11,17,0,0,1
