store_id,year,ecommerce_adopted,annual_sales,store_size,employee_count,inventory_value,mall_location,weekend_sales,holiday_sales
1,0,0,44.17552894930648,6,6,28,1,0,1
1,1,0,45.23744546920173,6,6,28,1,0,1
1,2,0,43.75714261745984,6,6,28,1,0,1
1,3,0,43.59063625477954,6,6,28,1,0,1
1,4,0,44.02701105949811,6,6,28,1,0,1
1,5,1,48.20306025929438,6,6,28,1,0,1
1,6,1,50.66317030999023,6,6,28,1,0,1
1,7,1,47.4819016500018,6,6,28,1,0,1
1,8,1,48.59097320653079,6,6,28,1,0,1
1,9,1,48.38178604032459,6,6,28,1,0,1
2,0,0,45.70829522291336,3,10,23,1,0,0
2,1,0,46.34749383455034,3,10,23,1,0,0
2,2,0,46.38280354383482,3,10,23,1,0,0
2,3,0,45.014246154783855,3,10,23,1,0,0
2,4,0,47.22155139176424,3,10,23,1,0,0
2,5,0,46.84023533569484,3,10,23,1,0,0
2,6,0,47.59711286772422,3,10,23,1,0,0
2,7,0,43.248572903129066,3,10,23,1,0,0
2,8,0,45.197408636131975,3,10,23,1,0,0
2,9,0,45.868178573675614,3,10,23,1,0,0
3,0,0,44.3731511125329,5,10,20,1,0,1
3,1,0,45.94866606611443,5,10,20,1,0,1
3,2,0,44.16332800024546,5,10,20,1,0,1
3,3,0,43.50447125138157,5,10,20,1,0,1
3,4,0,48.34061445848332,5,10,20,1,0,1
3,5,0,40.62666888522676,5,10,20,1,0,1
3,6,0,47.5204847032458,5,10,20,1,0,1
3,7,0,41.79663055867661,5,10,20,1,0,1
3,8,0,42.79621777340505,5,10,20,1,0,1
3,9,0,46.757834681673366,5,10,20,1,0,1
4,0,0,44.20500745388019,4,5,22,1,1,0
4,1,0,44.96478274612379,4,5,22,1,1,0
4,2,0,44.85169033931352,4,5,22,1,1,0
4,3,0,45.20994600904067,4,5,22,1,1,0
4,4,0,45.20620826175644,4,5,22,1,1,0
4,5,0,41.41478655622728,4,5,22,1,1,0
4,6,1,52.00398089866882,4,5,22,1,1,0
4,7,1,47.969228477019726,4,5,22,1,1,0
4,8,1,50.89144179662806,4,5,22,1,1,0
4,9,1,50.55701364603745,4,5,22,1,1,0
5,0,0,46.73942771203436,2,9,25,0,0,0
5,1,0,47.80896011294444,2,9,25,0,0,0
5,2,0,46.571774536048565,2,9,25,0,0,0
5,3,0,44.60029102754222,2,9,25,0,0,0
5,4,0,46.1803024117878,2,9,25,0,0,0
5,5,0,43.80237982502788,2,9,25,0,0,0
5,6,0,48.66033580163249,2,9,25,0,0,0
5,7,0,44.05839755715191,2,9,25,0,0,0
5,8,0,46.79832631426572,2,9,25,0,0,0
5,9,0,48.23222470705103,2,9,25,0,0,0
6,0,0,45.67431760820626,3,8,21,0,0,1
6,1,0,46.62107228350197,3,8,21,0,0,1
6,2,0,47.43493397345628,3,8,21,0,0,1
6,3,0,44.34407624798847,3,8,21,0,0,1
