store_id,post_policy,tax_policy,sales_volume,rent_per_sqft,inventory_value,weekend,holiday
0,0,0,46.09585781815301,0,6,1,0
1,0,0,45.78948126568536,2,5,0,0
2,0,0,46.36749917840302,3,5,1,1
3,0,0,45.19405548013992,5,5,1,1
4,0,0,47.06060453589146,3,6,1,0
5,0,0,48.72933501131061,0,5,1,0
6,0,1,45.96223380818167,4,5,1,0
7,0,0,44.90458577923987,4,4,1,1
8,0,0,46.53018880474716,3,5,0,0
9,0,1,46.706699090081294,5,5,1,0
10,0,0,46.13353259326302,2,5,0,1
11,0,1,45.98250749087839,5,3,0,1
12,0,0,46.43346442104159,3,8,0,0
13,0,1,46.80979596685748,1,5,1,0
14,0,1,47.14122393926368,7,5,0,1
15,0,0,48.42556880249327,4,5,1,0
16,0,0,44.611973713189855,4,5,1,1
17,0,0,45.11255443880123,5,5,1,0
18,0,0,46.91061143699037,4,5,1,1
19,0,0,48.20926707529304,4,5,1,1
20,0,1,46.06667863321879,3,7,0,0
21,0,0,45.61626041744365,3,4,0,1
22,0,1,45.27661992880436,2,6,1,1
23,0,0,47.39923504297937,3,5,1,0
24,0,0,45.94252674005745,5,5,0,0
25,0,1,45.96108327829892,4,4,0,0
26,0,0,44.84689619351889,1,7,0,1
27,0,1,45.557883175909375,5,4,0,0
28,0,0,45.0166862175821,4,3,0,0
29,0,1,45.38744138379971,1,4,0,0
30,0,1,47.24235539506956,3,4,0,0
31,0,0,46.44483260695379,5,6,1,0
32,0,1,45.43318965506089,5,5,0,1
33,0,1,47.25944476953666,2,5,0,0
34,0,1,46.05761952698501,3,7,1,0
35,0,0,45.432415263343024,2,7,1,0
36,0,1,46.38421498621314,1,5,0,0
37,0,1,45.88010996775885,1,7,0,0
38,0,1,46.49527790288652,3,5,0,0
39,0,0,45.24125176856673,6,7,1,0
40,0,1,44.751158982489386,4,5,0,0
41,0,0,45.2433695531927,4,6,0,0
42,0,1,47.42374411565286,1,8,0,1
43,0,1,45.93416442977734,2,5,1,0
44,0,1,46.05443972942774,4,4,0,0
45,0,0,44.40447995412988,5,6,1,0
46,0,1,46.29255641471654,0,6,0,0
47,0,1,45.87233075894388,3,7,1,1
48,0,1,45.01873360147937,4,7,1,1
49,0,1,44.56734811486256,9,5,0,0
50,0,0,47.04389377815635,5,7,1,0
51,0,0,47.28512996906898,2,5,0,0
52,0,0,45.47713380559035,3,3,0,0
53,0,1,47.195447569657134,1,5,1,0
54,0,0,45.90462693292245,4,4,0,0
55,0,0,44.79582831014038,8,7,1,0
56,0,0,47.53639335456169,1,5,1,1
57,0,0,46.56184469541751,6,4,1,1
58,0,1,46.04688101054536,2,6,0,1
59,0,0,46.73075064871151,3,6,0,0
60,0,1,45.16051210370297,4,5,0,0
61,0,0,46.62658746104118,3,6,1,0
62,0,1,46.59076163874624,5,6,0,0
63,0,1,46.0913722694541,6,7,1,0
64,0,1,44.17669411078998,5,5,0,0
65,0,0,45.11365307075333,6,5,0,0
66,0,1,46.00360235444151,4,6,1,0
67,0,0,45.811129008529086,5,6,0,0
68,0,0,46.25079947046618,8,7,1,1
69,0,0,47.74152278014556,4,7,1,1
70,0,1,46.25741001234678,5,6,1,0
71,0,1,46.01011491350474,2,7,0,0
72,0,0,45.863781682167954,4,6,1,0
73,0,1,46.02425785757788,1,5,1,0
74,0,1,47.13683016369092,3,6,0,1
75,0,0,45.51338332807862,6,7,1,0
76,0,1,43.2172372234267,3,4,0,1
77,0,1,46.13734520502425,2,6,0,1
78,0,1,44.935990748584906,7,6,1,1
79,0,0,46.83975872590758,1,4,0,0
80,0,0,45.90062891331562,6,5,0,1
81,0,1,45.74813062334536,6,7,0,0
82,0,1,47.38585183869511,2,6,0,0
83,0,0,44.46475039673262,5,5,1,0
84,0,0,47.84804606094502,3,5,0,0
85,0,1,45.36049582904783,7,5,1,1
86,0,0,44.74033648277045,5,5,0,1
87,0,0,47.19398329612012,2,4,0,1
88,0,1,44.41112651727295,1,6,1,1
89,0,1,44.47046521053742,6,4,0,1
90,0,1,46.80108754759444,6,6,1,1
91,0,1,45.38170740190094,3,7,0,0
92,0,0,45.13227844995642,5,5,0,0
93,0,0,47.28162659286532,3,4,0,0
94,0,1,46.267424286130925,7,5,0,1
95,0,1,45.74625422134817,5,5,1,0
96,0,0,45.75126085931724,6,6,0,0
97,0,1,44.29666765370953,4,5,0,0
98,0,0,44.37834141825792,4,5,1,0
99,0,1,48.02355121136838,4,5,0,0
100,0,0,44.20618512193846,6,6,0,0
101,0,0,46.090905163448326,2,7,0,1
102,0,0,47.07476122879432,2,6,0,0
103,0,0,46.53366358415867,8,5,1,0
104,0,0,46.46882620651918,6,5,0,1
105,0,1,45.70231898663364,4,5,0,0
106,0,0,47.187481418914906,3,4,0,0
107,0,0,45.61149148504179,4,4,0,1
108,0,0,46.61603155366672,2,3,0,0
109,0,1,45.32624404226018,5,6,0,1
110,0,1,48.31469166410322,2,5,0,0
111,0,1,47.793764878286815,3,6,0,0
112,0,1,46.15755817566443,5,5,0,0
113,0,0,45.31651037945767,2,7,1,0
114,0,0,47.51447123336895,2,5,1,0
115,0,1,45.85030568953505,2,4,0,0
116,0,0,46.18338546802055,6,5,0,0
117,0,1,46.24877897225453,2,5,0,0
118,0,1,45.64363635613513,4,6,1,0
119,0,0,45.25928061514455,1,6,0,0
120,0,1,46.20874156647172,3,4,0,0
121,0,0,47.816836013816456,4,6,1,0
122,0,0,44.39264454704618,5,4,0,0
123,0,1,46.98053577021283,3,5,0,0
124,0,0,48.420727960576144,1,8,0,0
125,0,1,44.97146468383871,1,7,0,1
126,0,0,45.29499026806676,2,5,0,1
127,0,1,45.489093841217965,4,7,0,0
128,0,1,46.13338879965801,7,6,0,1
129,0,1,44.12231714127357,3,4,0,0
130,0,0,44.986580925331324,4,5,1,0
131,0,1,44.61870379981974,5,5,1,0
132,0,0,46.29725325083631,2,8,0,0
133,0,0,47.15634969859416,5,7,0,0
134,0,0,46.78637935959095,4,7,0,0
135,0,1,45.85404724689431,4,7,1,0
136,0,1,45.20568589703531,4,4,1,1
137,0,0,46.316809478039794,4,5,0,0
138,0,0,46.81715785028671,3,6,0,1
139,0,1,46.82635333874208,4,5,0,0
140,0,1,45.35416374386447,4,6,0,0
141,0,1,47.73050396741537,4,6,1,0
142,0,1,46.39369552687312,5,6,0,1
143,0,1,44.45189203293021,2,6,0,0
144,0,1,45.24450700893563,6,8,0,0
145,0,1,45.995040095952056,3,4,1,0
146,0,0,46.02171590287308,5,7,0,1
147,0,1,44.13837390507012,2,4,1,0
148,0,1,47.39262286320481,3,5,0,0
149,0,0,49.80702450388304,2,5,0,1
150,0,0,45.009849585940586,5,5,0,1
151,0,1,45.867305169876666,2,7,0,1
152,0,0,44.47842519673402,4,5,0,0
153,0,0,46.36342631289336,3,6,1,0
154,0,1,46.649214496262026,5,5,0,1
155,0,1,47.58734856229674,0,5,0,0
156,0,0,46.44212135244626,4,7,1,0
157,0,0,46.65634911535938,4,7,1,0
158,0,0,46.66163162569147,3,5,0,1
159,0,1,45.87654005985994,5,5,0,0
160,0,0,46.34450440970377,6,5,1,1
161,0,1,48.73218298516444,4,5,0,1
162,0,0,45.69911254809294,2,5,0,1
163,0,1,46.06222351909446,3,5,0,0
164,0,1,44.10153952627908,4,5,0,1
165,0,1,45.33321077880857,5,5,0,0
166,0,0,44.04295159635157,2,7,0,1
167,0,0,45.46917705588013,7,7,0,0
168,0,0,47.27741820603359,4,5,0,1
169,0,1,46.403073715886016,2,4,0,0
170,0,0,47.45324619056588,1,8,1,1
171,0,1,45.65399819771407,4,6,0,0
172,0,0,46.44502767613444,7,6,0,0
173,0,1,44.05383689896987,7,7,1,0
174,0,0,46.579826798938406,6,4,1,0
175,0,0,48.04907944887632,3,6,1,0
176,0,0,46.549935876472816,2,6,0,1
177,0,1,46.33870439104543,1,6,0,0
178,0,1,44.60871474361691,3,7,1,0
179,0,0,46.04303776017539,2,6,0,0
180,0,0,44.89428528518301,7,8,0,0
181,0,0,45.86350291338846,3,7,0,0
182,0,0,45.97094840588697,5,6,1,0
183,0,1,46.1024437613352,4,6,1,1
184,0,0,45.329042964086895,2,5,1,0
185,0,0,44.95797205059412,4,7,0,0
186,0,1,44.9559938307994,5,5,1,0
187,0,0,45.28813195284334,4,5,0,0
188,0,1,47.40736617831646,3,5,0,1
189,0,0,45.48008457862998,0,6,0,0
190,0,1,46.70131212895895,1,5,1,1
191,0,0,46.31715167736254,3,7,1,0
192,0,0,46.38480296982883,4,5,0,0
193,0,0,45.46282950026863,5,5,0,1
194,0,0,46.84356627069156,5,6,0,1
195,0,0,47.02330711610248,4,6,1,0
196,0,1,45.74447520974629,5,7,0,0
197,0,0,46.43981052394059,2,6,1,1
198,0,1,45.73818890581373,2,5,0,0
199,0,1,45.33175018002068,4,7,1,0
200,0,1,46.780671388312975,2,5,0,0
201,0,0,48.23655626897165,1,8,1,0
202,0,0,47.17814881715135,5,6,0,0
203,0,0,46.98486074849588,3,7,0,0
204,0,0,45.30825388382975,4,5,1,0
205,0,1,45.943469753998656,1,6,1,0
206,0,0,47.50275723371608,4,6,0,0
207,0,1,46.11577646416174,3,6,0,1
208,0,1,47.02757705436495,3,6,1,0
209,0,1,45.24339331563553,2,6,0,0
210,0,0,46.94559985690211,4,5,1,0
211,0,0,47.14104887290885,5,5,0,0
212,0,0,45.4889490459226,5,6,0,1
213,0,1,44.41740428290666,2,5,0,1
214,0,1,44.7553262267238,0,5,0,0
215,0,1,46.28360087457412,6,7,0,0
216,0,0,45.68678380833258,2,4,1,0
217,0,0,47.22861654267944,2,6,1,0
218,0,0,44.802910579258885,3,5,0,0
219,0,1,44.19744032727561,3,6,1,0
220,0,1,45.05576239833915,2,6,1,0
221,0,1,44.97332587003484,2,6,0,0
222,0,0,47.60327890291768,3,6,0,0
223,0,1,47.296074946314974,1,6,0,0
224,0,0,46.07700240344245,4,6,0,0
225,0,0,46.59859274552256,3,4,0,0
226,0,0,45.083809203499975,6,5,1,0
227,0,0,48.156842399916,4,5,0,0
228,0,0,47.9308097875374,0,5,0,0
229,0,0,45.54172390950962,3,6,0,1
230,0,1,45.19101887426213,5,5,0,0
231,0,0,45.87286788213034,2,5,1,0
232,0,1,46.36043833819024,6,8,0,1
233,0,0,47.42661736517374,3,5,1,0
234,0,1,45.25143910393734,0,5,1,1
235,0,0,46.71721090670497,3,5,0,0
236,0,1,44.93140117576655,6,6,0,1
237,0,0,48.40446941619694,6,4,1,1
238,0,0,45.83579239623669,4,3,0,0
239,0,1,47.6880637215034,3,7,0,0
240,0,0,45.18364457935271,3,5,1,0
241,0,0,46.82926994651404,4,7,0,1
242,0,1,46.08703796780472,6,6,1,0
243,0,1,44.58571071808803,1,6,0,1
244,0,1,46.11204671609127,1,4,1,0
245,0,1,48.56919735629483,4,6,1,1
246,0,1,45.83249198943449,5,6,0,0
